epoch,label
1782116902.266509,tcpdump_start
1782116904.811699,tci_connected
1782116906.881659,after_initial_drain
1782116906.881708,SEND drive:0,10;
1782116907.483686,SEND drive:0,30;
1782116908.085177,SEND drive:0,50;
1782116908.687349,SEND drive:0,70;
1782116909.289711,SEND drive:0,90;
1782116909.891533,SEND drive:0,100;
1782116910.493494,SEND tune_drive:0,10;
1782116911.094790,SEND tune_drive:0,30;
1782116911.697109,SEND tune_drive:0,50;
1782116912.298617,SEND tune_drive:0,70;
1782116912.900659,SEND tune_drive:0,90;
1782116913.502601,SEND tune_drive:0,100;
1782116914.104540,SEND dds:0,3700000;
1782116914.705435,SEND vfo:0,0,3700000;
1782116915.306627,SEND dds:0,7100000;
1782116915.907948,SEND vfo:0,0,7100000;
1782116916.509490,SEND dds:0,14100000;
1782116917.111370,SEND vfo:0,0,14100000;
1782116917.712426,SEND dds:0,21100000;
1782116918.314674,SEND vfo:0,0,21100000;
1782116918.915959,SEND dds:0,28400000;
1782116919.518388,SEND vfo:0,0,28400000;
1782116920.120423,SEND dds:0,14100000;
1782116920.720998,SEND drive:0,50;
1782116921.322536,PTT_ON drive=50
1782116923.325045,PTT_OFF
1782116924.326399,SEND drive:0,100;
1782116924.928575,PTT_ON drive=100
1782116926.930319,PTT_OFF
1782116927.931115,SEND tune_drive:0,50;
1782116928.533008,TUNE_ON tune_drive=50
1782116930.535768,TUNE_OFF
1782116931.537299,done_tci
1782116943.049097,tcpdump_stop
